seller_id,seller_zip_code_prefix,seller_city,seller_state
27c76061a84231cf8adfdf8cde55e0a6,29078,city,MG
3346b8c94ef0b47104d032bcdda971ed,40467,city,RJ
c76f45016ea8baf8df3806a9b87e3495,28851,city,SP
2f36ad819f66779a7b898185b9d2d7cd,38600,city,SP
bae026e68df9b2ab93ae2d61d32dcc0f,83518,city,GO
82f83c2106200abe877b7d6ebb2e2bf0,38672,city,MG
74a3d4a24d8c616a2bf7b83795f15e73,9569,city,SP
43360e12502aada75913c70fa4d08fab,83632,city,SP
fe6d63eb981ebc74cd0bdc9e4ba2be91,42930,city,GO
d654496c97a9b8423c91ae8737935884,82420,city,SP
439ca093d171e0acab12a9c6b5d8048f,32913,city,SP
588013b505f4e3c26a1aaac206302b89,72782,city,SP
8caee52c7ee14c3404c7893e2a41153d,33531,city,SP
4783a5ce4db2493f75ebd7edfbb5d785,90442,city,RS
d4e8ce1fbd1d5f3587a5d88b06420f57,39192,city,PR
d39af58426449f1add89dd0de50ec63f,49473,city,SC
16d1230b801907c08a9bcd9cc15405e3,86749,city,RJ
1d4937816b3c64a24ae917cfb3aced20,40354,city,SP
d31cf1bed6e129ec36de42f7cff8ba68,32021,city,MG
f02d66095c12822a475413ca5c754a4c,16484,city,RJ
377d4a52ab78de15f2a082747f872982,42441,city,SP
d2041e2cfce9851203883490167573e7,54068,city,SP
b39a8eb0331c7b7a458908951f41ec4a,39557,city,SP
c49e90d0b033060fe56314ab1e0a848e,56614,city,SP
0b427328a52332407dfce24ac8defdd0,3480,city,SP
607045dac932f54835ca00fa31cf4661,17422,city,RS
33c05c7c9c5fa85eca7641ddc7698adb,76469,city,SP
e77a4d730d15ce0870218dd5d1cc8fc3,28487,city,MG
c257d0c342e88d821426d142edc96e8d,58898,city,MG
4b8af89dd17f35b82f5151e849cc6fe3,14558,city,RJ
85bbed59ef4b21681a3a58bbba19fd0d,32560,city,PR
c6eee267916944ac9b06b02629b99736,30489,city,RJ
c2a456ea452e97cfd2b4f3f7370fd1af,52939,city,RJ
bda4cee5fabedb6df0f3212e50212e68,93332,city,PR
8acd274fbaaaf10aeae5d8b0474a8ea4,94874,city,GO
816bef4b46b507569da8ac30bf123276,36199,city,SP
b436c2de0d2e7c5360c5c8e58f558a8a,85897,city,SP
46e5c183f3a173d733b0cc1c152b2892,25507,city,SP
1b141eff039d7806634780b6de83bb51,78874,city,MG
c28e4d645f87b49432787e81d7ff21db,25386,city,SP
371edac231f689bf88212d17ea55ccb8,29060,city,SP
4895d29f8cb250644315b255c42584d6,73566,city,RJ
9fa0ee998c1269c650f43f511b918b5e,5360,city,DF
5516bc2e2c7eb074ac04891953c8adcd,50424,city,RS
f7b652ae3aef65ed24ca8791be8758f6,53752,city,MG
6771dec835942f91711c80ad6282a47f,99093,city,SP
ffd98b43bbe69abf1140aa41dedf9a66,99095,city,SP
13a9ebc96ede98ded88d131b8dbf6e8e,24672,city,SP
7fc596da6b26e513af08eed231a2c5d7,41967,city,RJ
fb8f6c9ec5b44a58a401de8f93734d86,86050,city,SP
044550740f35ef6bdd8df60eaa8d0687,60551,city,SP
d3be0e887303b29945078b1809f103d5,9664,city,RJ
ec227888bbc4e06899d6f4ed4482ccc0,17766,city,MG
547323210ce37b08838a172221466a00,28559,city,PR
e82c0547f3e697b895630feaaf131fc3,98450,city,BA
fcc86ef58cd6ba2637c240194e4843df,84520,city,RJ
b16e58a8308c7c5b494f6406b0be312e,8818,city,SC
8060591a4da32421ccb8aea9314d56ec,92805,city,SP
a11d50f512d8e1893ce153a9154f7d4a,7415,city,RJ
c643252c491ea3e2fc3e9fc3d77cccea,54547,city,RS
99f3b7489e38cd201533ea9a004a45ff,80165,city,SP
c18c81cc6d7868abb0471b6ddf0faf4c,12873,city,AL
d2725d5a4156c3b70eb0375fdf7b312b,98303,city,MG
36a3d1b8ce11d21e7e3b861aef61ce35,55344,city,SP
c637a2d03ccacc5ba22f2e0b0485a488,10415,city,SP
f731da04964a3b7939cf3d3ef81b5810,83455,city,SP
33b918e032454878fc34414f263555de,74151,city,SP
60417b409dc2fb68aeb107adb14882e5,62041,city,SP
8761896db26ac10bafbe466b74cf83b5,43694,city,SP
a1e23d90f7386c3f12f6d9dc47f121fc,3999,city,SP
ebde46da46789bb88690e3044e3ec5b5,95388,city,DF
f6dfc71d63eab0f4e079ae4f75434bba,56068,city,MG
f50898d31ab4c05ca6c6ffa105a97edf,59125,city,MG
a9fd131060e50b0306ce31288da045ad,49969,city,DF
4f1cc716df7cd2a98b1ae7862d12bc93,57687,city,SP
b5e76d3d60f698ad8e40becb6310da20,51535,city,SP
1eae893a3e8cffc769de4d965e24d123,36780,city,SP
70ebadc19fa464a8aafb9f9ff97ecf44,49734,city,SP
2ae8ebfe72d10e9785bda793e30a14fd,32212,city,RJ
6c98a657b4a424c6a8f43033b00892b5,80269,city,GO
40ae231c3156e4c7c2f9e3f5a382c4f0,75433,city,SP
c6d48632834b5e8d2dada6cfe1fa21f8,35672,city,PR
34954dc36de36d4c5e180d1a4a123504,79822,city,SP
9ac7def17da485b65c9a90fc7056091c,26044,city,PR
23474157f4c769b169e88cf707515594,98197,city,DF
3d1ba6821b5798d8c413183b7137cc18,28464,city,SC
f711aae613d2ce1516bd7b2f6212d0e9,47859,city,SP
aa37e6b62f8215960574b0ae8ffd05f4,93738,city,MG
2d75d250f9e08457d57074f64a0507d7,66297,city,SC
7671a629cb616583cdfd660e07f5a069,67715,city,RJ
2050650f5f203057d851246aacab1854,62985,city,RS
7deec4bf2a3bb9623aa83a4a30ade02a,38624,city,RJ
7311bebc3a19b90c1edd6a460584a21a,61976,city,SC
a8e2b75cb507c205ebbf3c313f7566da,53044,city,RS
78c849d3fc436ea1f47a93cdd2273bef,1658,city,SP
df36d8a338c260cef156dcfecb923501,63298,city,RJ
8eb2dc3180bd25f96c9a2f17c8664cca,84046,city,ES
8fd027002bc7b7f2b8707a57e9529ab5,56263,city,SP
4d09ef5a9f595833d50c3dbe3577b324,18275,city,PA
de6d00c287f50c3b2e52794635f1e0f6,24727,city,RS
8a9000af09a7c79d2e2fb44eb9e62989,96887,city,SP
37133895c07ede672b9733f54f67ce6f,76843,city,SP
a61a73d9097b19e3f860da2f3e9cdc68,45270,city,PB
f896dba95796649d1753249faa8871eb,66842,city,RJ
5de7b536e12d719d694f8e2ad2f82682,25687,city,SP
38d452ac5e65cb6af5978ab7f45d758e,91232,city,SP
cf30e700168527450f17b19c429ec99b,29316,city,SP
8ab2ed0de585de3579812991006767c4,51639,city,RJ
c9bca69e6d526349e13d31d24e726fa9,97724,city,SP
c73d636642e216964ba86e96569dbeed,37503,city,GO
488057549d2c848b0f249a23f08af87a,63152,city,SP
e74b2e71d756a50eebba9b92f0154d51,2368,city,SP
4d1c851e6c71a377d06eb4034ca08988,10929,city,SP
9137c0df80a02cbbcb5a929270e74333,59605,city,GO
721825f652e99e2b9926d39dfb8d1ab1,24637,city,SP
0fab9153523118f92dddb917553dcd7e,75932,city,MG
f5054f6fd1035e06b41050bbf67f5860,31613,city,SP
c63f97fa2c51a1686f2e0bdb4eec8b20,62130,city,TO
0e5a79b0a93e8684af069dbf8f9af7a5,32776,city,PR
5e925f7a2ffffcedeece5a48ae005ca8,81187,city,SP
945b1180991946a4ef176d7bae4569d8,35617,city,PE
9ddc195322d6f51d145e3cd6cd9ebae1,8400,city,SP
7e9c5928af5e78f2fa7fa6a6707ff521,57984,city,SP
849c315f65fda87844d895fe34a20fcd,50134,city,PE
e76ca7c774763cc17733a9529cb664ed,17204,city,SP
4cdcefc73a93c1cc4bb6e8b25cb9a5dd,11383,city,RJ
e4d85ccdfb59d4f91496a0eb34ed43a5,24077,city,SP
1c5599ec04c09cfbe902fd6c5d368514,92725,city,GO
20f7f274bd370c94366ffa07df88967d,17919,city,SP
d8ea1f847732943f9efff9db9d300c14,53168,city,SP
f76d95d43c929ac85fb6077b57ee4eaa,97623,city,SP
9d252a86500f5d1d823f84e28cdae9a7,42772,city,SP
55b3a1611affcf1d0430795c65178745,89902,city,SP
d5286dfd4efd5b720e1b2facb1b71f88,57770,city,RJ
c8ea983547a5b31ea570406b91a68cc4,94355,city,SP
c549c6d570ead37a3e46cd30512b7c27,18316,city,RJ
ddebe4078e94af86ce765d2163c78895,46024,city,RJ
17880839ce85204f82c02623025b1de6,90046,city,SP
0ff9845e9b7ca92ea158c8ab5ec4b99d,97533,city,SP
5e445cd409448d7d84ec2fbabcd874f0,67428,city,SP
2acbf8000571ee076e31eea7b8853d6c,58537,city,RJ
4f1e93b47984cd1e9668fec94c191a0f,63034,city,SP
b4b0910b6e9ee89fd0f07e258321acb4,37206,city,RJ
0185eadc9499000c0b410fc11e456092,9148,city,MG
85ffa758aa78bd7d9ac25d5af6287e2c,19288,city,SP
91823b8790317f9fd3d5b032bc8aab64,62890,city,SP
d68a87fc7f7e71179d74e4972dbd4ed4,67770,city,MG
80cee7b025b70f0aa7e6a80486314f69,2939,city,PR
01af5505ff3c2bd5a70a475bcbfe0c98,84074,city,RS
e5cca7cb1dc10bc83d7a1b1b59bed1cd,99059,city,BA
d79a5e7d27cb462ab29504b579881d04,69772,city,SP
116d185b12e6972509933c6c0915098c,33182,city,SP
2f8f03f2b48f8bfdd22e69fc15a87cc0,54188,city,SP
2e9969859705fcc8a50e5c6cc6356625,19197,city,SP
d79222f13ffd66899842d5ee49c4549d,23990,city,SP
83b7dec296f284fe23db671989ed6a8a,87530,city,SP
1a05c826ba93a324c223d1868d069838,28526,city,RJ
84455baf7a5bb7afcfd077b789b351fb,57405,city,SP
9f4461ed07134d9586455c39b61705f0,86101,city,SP
21b7fd366d9cf8536f859777fe221936,85286,city,PR
99b256d055dac107b4d1a276f4a8629c,45003,city,SC
acb8a758f41c28ad5c428a01313db947,93569,city,RS
b8b1fd6faff03ca63f24c7b0e748ae8e,90168,city,SP
ade10cc8393605de7678126288848d75,7296,city,SP
567782f43b698746e2cce02278feb48f,13255,city,SP
