order_id,payment_sequential,payment_type,payment_installments,payment_value
3020f96788a168d224d0484aaeae6920,1,boleto,1,518.12
1c9e91d9936abc7ae98d1d15f998625f,1,boleto,1,124.63
0f3a6710f48bdb7b73e64614d85f071f,1,voucher,1,62.17
a31a203dc843e588a9e4879c1b6eb04d,1,credit_card,8,278.26
ae71b20f42c39fd599ef1e182a6e13c7,1,credit_card,6,41.53
d1c1a11d1587da9e72590e345d387958,1,voucher,1,247.62
3ada012a0f34b2f9b87cd28925122267,1,voucher,1,989.73
1173c4e647c1e1a3432d377c1ba96ce0,1,credit_card,9,189.39
8a9b12e13eed6fd1656866e1b9f2640b,1,credit_card,9,121.88
7f374f5717550eb24c02021586edc440,1,credit_card,6,731.56
0c25e89442f16ffed711258da25d4a9c,1,credit_card,10,251.81
230c47d11385dc7120214aaf4e276aed,1,credit_card,1,83.71
1f5e6cbd06e7de2dd76adbb75ef260f8,1,credit_card,4,165.27
2f978a1aeee9664f5c402e8f9ffa3635,1,credit_card,3,61.15
26ea514996b35fef53cce79331915b7b,1,boleto,1,185.57
dd61bdce1e9ad267232b0299b3f45b13,1,credit_card,6,344.96
2af40dbcaf95fdf34819372a7affc510,1,boleto,1,35.1
371910bf9a5170bcd6c4904095a7ee64,1,credit_card,9,252.62
10d8a75b35e3861420f4160b52172bc4,1,credit_card,5,133.72
8e229b071a299d43461fe7e67251b239,1,credit_card,4,226.45
6af8e8de62748ac9c10ec114bc542043,1,credit_card,6,154.36
a89fab0eecf2467c06e15c1edf1b6418,1,credit_card,10,263.89
2b5a7c8339ae600690820750dd68abf7,1,credit_card,3,173.53
c108595c992078df255c79d2d78e2704,1,voucher,1,92.75
a3a8f965b93a4e7b752a71ae3b7b28d7,1,credit_card,5,149.76
15a195ec4189635038b677c89af03c12,1,boleto,1,94.0
76dc929ea54fd4390bab51f1cc9855b2,1,credit_card,1,130.3
638fda28aaa0dbfd394b4727bbb20bed,1,voucher,1,315.75
395c82970a95cb82831b0ab6fb342869,1,credit_card,2,168.04
35ab50f9dbd7e16928d3d1bab7afa598,1,credit_card,8,124.07
fd4840ecd1a90c8f8b86349af3e73f76,1,boleto,1,87.33
fa2ad56a13380ee5b33431a641745517,1,voucher,1,293.34
02bcacbb16dd3f8b1ed8609c907c3477,1,credit_card,2,176.77
0c67b872e86b9917d987ff574add625a,1,credit_card,4,186.47
bc8659ad995b08119382348952d14fdf,1,debit_card,1,108.24
61b89e4c4351e8845002d6730b9d0e1a,1,credit_card,2,107.26
0dc1ae63e5f52120d233de732b7cb59d,1,credit_card,8,250.55
10be1cec203d5a0ddafe34d3a4c70d1b,1,credit_card,6,189.18
2eb176dd6f33a4769595c3fdc759bba4,1,credit_card,1,70.47
27e06c40ea7465d729d23827631ece7f,1,boleto,1,106.22
968d47f88e59ae3ab7dfca1f33a24335,1,credit_card,6,104.59
d8df8a3d0065f01b3eea4f5c104950dc,1,credit_card,8,202.65
1c2021b565fdc68063f340dc69f43f7e,1,credit_card,2,147.54
63720445f6a157b3145d8ce60f95fe9f,1,credit_card,3,56.05
5ff2f06637ae17da30b32fab5b7021bb,1,credit_card,8,127.58
02af741df4483b855a3c5b4c40ba5240,1,credit_card,7,74.63
3f65f2a8799a64c9dc9118ba678dab32,1,boleto,1,106.08
d138121587b743b058460855baac93ed,1,credit_card,3,76.04
0b333a808588ae22510a2a047f946e5a,1,credit_card,1,82.54
01dea7e99b934aa96be4ec3fffb34d78,1,boleto,1,362.86
cd49064819ba39f4560b3de33c566b31,1,credit_card,1,269.69
e99e02ed160536e5e02cdc7f600e018f,1,credit_card,8,272.93
8f8f360b97e5c75467c85f099281d861,1,credit_card,8,50.31
ea204e0a193f731ef000541e1327ccf8,1,boleto,1,122.37
3ac5ab1ed6b5d953a648ad08d653607a,1,debit_card,1,281.82
105a3a2399ce86edb42d7fb5f09eefcc,1,boleto,1,390.08
f49f1e3fd3253ac549d1729e573052db,1,credit_card,3,70.75
